"ID_REF"	"GSM2509848"	"GSM2509849"	"GSM2509850"	"GSM2509851"
"3371085_st"	8.521441	8.012398	9.05585	8.466421
"3371087_st"	2.249234	4.483959	3.62787	4.925304
"3372479_st"	13.10488	12.92749	12.93771	13.13332
"3372484_st"	12.66994	12.73265	12.83369	13.1121
"3372486_st"	13.10842	13.07992	13.08048	13.18409
"3372491_st"	11.00292	11.09161	11.14047	11.17744
"3374143_st"	9.958551	10.02317	10.00566	9.887228
"3374146_st"	10.338	10.19781	10.07341	10.42
"3374150_st"	10.30176	10.28747	9.95127	10.11446
"3374444_st"	7.779453	7.8976	8.254837	8.382449
"3374446_st"	8.575386	8.380285	9.015303	8.866382
"3374448_st"	9.803259	9.506227	9.601696	9.876071
"3374455_st"	9.164177	9.445966	9.644685	9.477676
"3374457_st"	8.638288	8.266597	8.352967	8.226217
"3374461_st"	9.499765	8.779587	9.535683	9.142003
"3374463_st"	9.516112	9.614175	9.712028	9.581124
"3374465_st"	10.18761	9.986139	9.967168	10.28217
"3374470_st"	7.741194	8.294435	8.162188	8.184674
"3374472_st"	8.980738	9.506227	9.236515	9.539081
"3374474_st"	11.74254	11.46771	11.46491	11.45196
"3374481_st"	8.707219	9.477676	9.109725	8.899989
"3374486_st"	10.20391	10.19409	10.32498	10.20269
"3374490_st"	10.29802	9.979367	10.0313	10.17081
"3374492_st"	10.15982	9.90758	9.980796	9.955228
"3374499_st"	10.2784	10.3608	10.5164	10.71571
"3374500_st"	11.88024	11.53319	11.2609	11.62051
"3374504_st"	7.100235	7.509454	7.079052	7.851496
"3374508_st"	10.13148	9.549706	9.760237	9.547298
"3437060_st"	10.99768	10.92051	10.85608	11.14406
"3437064_st"	10.46036	10.58187	10.34235	10.24134
"3437066_st"	10.845	10.78399	10.59742	10.87533
"3437068_st"	10.12587	10.12096	10.05772	10.20488
"3437070_st"	11.10011	10.80862	10.73201	10.67574
"3437072_st"	8.046521	8.655347	8.525743	8.592658
"3437074_st"	10.18605	10.19648	10.34907	10.33794
"3437076_st"	11.5634	11.40088	11.37573	11.47115
"3437243_st"	4.410822	4.085601	3.857428	3.536325
"3437245_st"	8.060476	7.845235	7.65311	7.90965
"3437246_st"	8.043179	7.688242	8.012398	7.891438
"3437249_st"	9.52306	9.416552	9.098457	9.035919
"3437255_st"	8.964224	8.860184	8.409059	8.507633
"3447820_st"	9.129179	8.995652	8.866382	9.09331
"3447822_st"	11.15685	10.60983	10.61145	10.51072
"3447824_st"	10.57975	10.352	10.42727	9.993235
"3447826_st"	10.37873	10.28584	9.869532	9.71413
"3447828_st"	10.3072	9.482195	9.642628	9.416802
"3447830_st"	9.979201	10.09671	9.901944	9.868893
"3447832_st"	10.3995	10.06165	10.07007	9.912828
"3447834_st"	11.24526	11.03823	10.87655	10.92983
"3447836_st"	10.15247	10.04021	9.960586	10.10347
"3447838_st"	10.97564	10.27404	10.35668	10.30715
"3447840_st"	10.49031	10.2963	10.45965	10.42255
"3447842_st"	9.505731	8.915758	8.952623	9.059911
"3447844_st"	10.97852	10.83163	10.54394	10.69858
"3447846_st"	10.00982	10.21708	9.403147	9.881382
"3447848_st"	9.562857	9.304713	8.733217	9.16677
"3447850_st"	8.625806	8.612095	8.149536	8.128148
"3447852_st"	9.293814	9.066452	8.753585	9.213181
"3450880_st"	8.388726	8.226437	8.099231	8.074385
"3450882_st"	10.08027	9.763517	10.3022	9.995724
"3450884_st"	11.72238	11.38268	11.60991	11.64795
"3450886_st"	11.77708	11.47299	11.67616	11.73969
"3450888_st"	11.96153	11.83681	11.95891	12.09403
"3471828_st"	8.149541	7.928685	7.374734	7.864377
"3471839_st"	10.27985	10.38015	10.24074	10.49956
"3471843_st"	9.226821	8.966124	9.136247	9.235718
"3475282_st"	7.068343	6.143831	6.334666	5.869372
"3475642_st"	11.31441	11.34079	11.54812	11.28529
"3475644_st"	12.2711	12.12154	12.05429	12.1609
"3475646_st"	12.00667	11.8854	11.95058	11.92813
"3475650_st"	12.25831	12.21701	12.22384	12.2463
"3475652_st"	11.7691	11.66789	11.73713	11.77162
"3482860_st"	10.24547	9.847879	9.822074	9.971054
"3482865_st"	10.30722	10.10128	10.35142	10.19722
"3482867_st"	8.447948	8.087253	8.259552	8.561133
"3498866_st"	12.33344	12.29534	12.34497	12.39512
"3498868_st"	12.95043	13.19625	13.18373	13.41021
"3499497_st"	11.86929	11.6889	11.6469	11.64218
"3499499_st"	10.90109	10.64665	10.95739	11.03704
"3499501_st"	12.00071	11.75703	11.65662	11.71398
"3499503_st"	11.28552	11.57497	11.29877	10.93072
"3499505_st"	11.44164	11.27938	11.40621	11.622
"3499507_st"	11.25648	11.25412	11.19995	11.35023
"3499509_st"	10.42123	10.58399	10.35723	10.649
"3499513_st"	9.971118	9.622539	9.782842	10.00774
"3499514_st"	10.5267	10.17986	10.13854	9.85986
"3499518_st"	13.06015	12.93714	12.83785	12.86762
"3499520_st"	12.95503	12.88975	12.9849	12.88704
"3499522_st"	10.80322	10.60718	10.87054	10.76336
"3499527_st"	10.72512	11.03683	10.96521	10.96954
"3499529_st"	10.30583	10.57546	10.2598	10.29132
"3499533_st"	11.65953	11.74943	11.55301	11.85105
"3513255_st"	3.983652	3.142724	4.403212	2.926219
"3513257_st"	9.303635	9.239868	9.313877	9.38169
"3513259_st"	9.171075	9.362951	9.749383	9.768531
"3513261_st"	8.808834	9.503248	9.375495	9.718035
"3513263_st"	11.28927	11.24599	11.60156	11.63376
"3513268_st"	11.7959	11.79473	12.01215	12.00086
"3513271_st"	5.997005	7.85146	7.115569	6.277577
"3513272_st"	10.87802	11.08146	11.11745	11.10433
"3513274_st"	12.34524	12.0763	12.39991	12.29551
"3513278_st"	10.19563	10.28333	10.24015	10.41755
"3513280_st"	9.937187	10.03355	9.755741	9.711262
"3513284_st"	12.19809	12.1684	12.41139	12.48882
"3513286_st"	9.084826	9.379992	9.464527	9.355543
"3513290_st"	9.617113	9.366058	9.65362	9.599062
"3513292_st"	10.96575	10.41411	10.79133	10.91529
"3513294_st"	11.41924	11.42133	11.4585	11.6254
"3513296_st"	12.72483	12.62243	12.60554	12.70075
"3517151_st"	8.641445	8.800808	8.551732	8.823108
"3517153_st"	10.4295	10.34181	10.37341	10.53081
"3517155_st"	10.25675	10.84507	10.90234	10.94157
"3517157_st"	8.351925	8.064525	7.995538	8.144452
"3517159_st"	9.796883	9.355054	9.721241	10.04263
"3520328_st"	5.822846	6.421753	5.760503	5.271662
"3520333_st"	9.360209	9.442146	9.364861	9.581124
"3520339_st"	11.14644	11.02807	11.37841	11.51095
"3520345_st"	10.91094	10.78742	11.04039	11.1307
"3520347_st"	11.11657	11.1691	11.46874	11.63112
"3520349_st"	11.10441	10.81772	11.02373	11.41321
"3520353_st"	11.7194	11.5713	11.79739	11.99592
"3520361_st"	7.622651	7.325496	7.359056	7.41751
"3520363_st"	9.185394	9.399883	9.989692	9.87562
"3520364_st"	9.914325	9.622893	10.18606	10.02197
"3520366_st"	8.880653	8.995167	9.327221	9.428656
"3525990_st"	12.99372	12.77676	12.82623	12.86777
"3525992_st"	13.724	13.63771	13.54352	13.63318
"3525996_st"	12.6154	12.61276	12.71424	12.77221
"3525998_st"	11.65254	11.43694	11.55576	11.73326
"3529035_st"	8.945459	8.689146	8.412399	8.858633
